car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[0.5475969662224797, -0.007267636147912923]","[1.7186837428331163, -0.001855292791136165]",1.171,"[0.0011798102287983974, 0.9999993040236698]","[2.303999900817871, 2.3480000495910645, 2.5999999046325684, 2.6519999504089355, 1.5520000457763672, 1.371999979019165, 1.7120000123977661, 1.753999948501587, 1.6460000276565552, 1.781999945640564, 1.722000002861023, 2.124000072479248, 2.2960000038146973, 4.25600004196167, 4.168000221252441, 4.3520002365112305, 3.819999933242798, 0.8420000076293945, 3.799999952316284, 3.9639999866485596, 1.8899999856948853, 1.871999979019165, 1.8860000371932983, inf, 1.3839999437332153, 1.9620000123977661, 3.8359999656677246, 1.9600000381469727, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.6519999504089355, 1.4700000286102295, inf, 2.7239999771118164, 3.936000108718872, 1.6640000343322754, 1.6299999952316284, inf, 1.8240000009536743, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.4720001220703125, inf, 4.584000110626221, inf, 0.9179999828338623, 0.9580000042915344, 1.8380000591278076, 1.8940000534057617, 1.9479999542236328, 1.781999945640564, 0.7599999904632568, inf, 1.343999981880188, 2.74399995803833, 1.4919999837875366, 1.5820000171661377, 1.5379999876022339, 1.5099999904632568, inf, 2.5439999103546143, 2.552000045776367, 2.380000114440918]","[1.171, 0.005]",2
"[0.5496901865667202, -0.0072886121346565705]","[1.7186837428331163, -0.001855292791136165]",1.169,"[0.0009014180690167351, 0.9999995937226499]","[2.303999900817871, 2.3519999980926514, 2.5959999561309814, 2.6480000019073486, 1.5540000200271606, 1.3760000467300415, 1.715999960899353, 1.7740000486373901, 1.6380000114440918, 1.7920000553131104, 1.7400000095367432, 2.0959999561309814, 2.312000036239624, 4.248000144958496, 4.159999847412109, 4.3520002365112305, 3.808000087738037, 0.8379999995231628, 3.799999952316284, 3.9079999923706055, 3.927999973297119, 1.8700000047683716, 1.8860000371932983, 1.3899999856948853, 1.3819999694824219, 1.9620000123977661, 3.8399999141693115, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.6480000019073486, 1.4800000190734863, inf, 2.7239999771118164, 3.940000057220459, 1.6540000438690186, 1.6419999599456787, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.4720001220703125, inf, 4.5920000076293945, 0.9200000166893005, 0.8999999761581421, 0.9419999718666077, 1.8380000591278076, 1.8940000534057617, 1.9500000476837158, 1.7940000295639038, 0.7519999742507935, inf, 1.3480000495910645, 2.740000009536743, 1.503999948501587, 1.5820000171661377, 1.5360000133514404, 1.5099999904632568, 1.4579999446868896, 2.5439999103546143, 2.552000045776367, 2.371999979019165]","[1.169, 0.005]",2
"[0.5523464774290913, -0.0072487018622331215]","[1.7186837428331163, -0.001855292791136165]",1.166,"[0.0010732299942193021, 0.9999994240885239]","[2.303999900817871, 2.3440001010894775, 2.5959999561309814, 2.6480000019073486, 1.5540000200271606, 1.371999979019165, 1.7120000123977661, 1.7519999742507935, 1.6440000534057617, 1.7879999876022339, 1.7259999513626099, 2.0880000591278076, 2.2839999198913574, 4.263999938964844, 4.168000221252441, 4.3520002365112305, 3.815999984741211, 0.8420000076293945, 3.799999952316284, 3.98799991607666, 1.8880000114440918, 1.871999979019165, 1.8860000371932983, 1.3880000114440918, 1.3860000371932983, 1.9620000123977661, 3.8359999656677246, 1.8700000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.635999917984009, 1.4780000448226929, inf, inf, 3.9679999351501465, 1.8819999694824219, 1.6380000114440918, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.455999851226807, inf, 4.584000110626221, 0.906000018119812, 0.8840000033378601, 0.9279999732971191, 1.8459999561309814, 1.8940000534057617, 1.9479999542236328, 1.7719999551773071, inf, inf, 1.3459999561309814, 2.7360000610351562, 1.4900000095367432, 1.5839999914169312, 1.5379999876022339, 1.5099999904632568, inf, 2.5439999103546143, 2.555999994277954, 2.380000114440918]","[1.166, 0.005]",2
"[0.5541525271012405, -0.007212110207025596]","[1.7186837428331163, -0.001855292791136165]",1.165,"[0.0006588637416078194, 0.9999997829492614]","[2.308000087738037, 2.3440001010894775, 2.5999999046325684, 2.6480000019073486, 1.5579999685287476, 1.3799999952316284, 1.7120000123977661, 1.7599999904632568, 1.649999976158142, 1.7979999780654907, 1.7239999771118164, 2.0920000076293945, 2.364000082015991, 4.25600004196167, 4.168000221252441, 4.343999862670898, 3.8239998817443848, 0.8420000076293945, 3.7760000228881836, 3.7880001068115234, 3.944000005722046, 1.871999979019165, 1.8860000371932983, 1.3960000276565552, 1.3839999437332153, 1.9620000123977661, 3.8359999656677246, 1.9119999408721924, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.6519999504089355, 1.4859999418258667, inf, inf, 3.555999994277954, inf, 1.628000020980835, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.464000225067139, inf, 4.584000110626221, 0.8840000033378601, 0.8679999709129333, 0.9240000247955322, 1.8559999465942383, 1.8899999856948853, 1.9500000476837158, 1.7799999713897705, inf, inf, 1.343999981880188, 2.740000009536743, 1.4739999771118164, 1.5839999914169312, 1.5460000038146973, 1.5099999904632568, 2.191999912261963, 2.5399999618530273, 2.555999994277954, 2.4079999923706055]","[1.165, 0.005]",2
"[0.5559612320227826, -0.007189310412749156]","[1.7186837428331163, -0.001855292791136165]",1.163,"[0.0007521769993168364, 0.9999997171148408]","[2.303999900817871, 2.3480000495910645, 2.5999999046325684, 2.6480000019073486, 1.5679999589920044, 1.3839999437332153, 1.715999960899353, 1.7519999742507935, 1.6419999599456787, 1.815999984741211, 1.7300000190734863, 2.0920000076293945, 2.3320000171661377, 4.263999938964844, 4.159999847412109, 4.3520002365112305, 3.819999933242798, 0.8379999995231628, 3.803999900817871, 4.01200008392334, 3.944000005722046, 1.8739999532699585, 1.8860000371932983, 1.3960000276565552, 1.3860000371932983, 1.9620000123977661, 3.8359999656677246, 1.8700000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.640000104904175, 1.4900000095367432, inf, inf, 3.5320000648498535, 1.8799999952316284, 1.6360000371932983, 1.7259999513626099, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.464000225067139, inf, 4.584000110626221, 0.871999979019165, 0.8600000143051147, 0.9200000166893005, 1.8459999561309814, 1.8940000534057617, 1.9520000219345093, 1.7760000228881836, inf, inf, 1.3459999561309814, 2.7320001125335693, 1.4800000190734863, 1.5839999914169312, 1.5420000553131104, 1.5099999904632568, 1.3680000305175781, 2.5439999103546143, 2.552000045776367, 2.368000030517578]","[1.163, 0.005]",2
"[0.5563926830396597, -0.0071551249787635204]","[1.7186837428331163, -0.001855292791136165]",1.162,"[0.000816280687001015, 0.9999996668428646]","[2.303999900817871, 2.3399999141693115, 2.5959999561309814, 2.6480000019073486, 1.5540000200271606, 1.3739999532699585, 1.7100000381469727, 1.7699999809265137, 1.6480000019073486, 1.7920000553131104, 1.7300000190734863, 2.0999999046325684, 2.3440001010894775, 4.263999938964844, 4.168000221252441, 4.335999965667725, 3.8239998817443848, 0.8420000076293945, 3.7839999198913574, 3.9040000438690186, 3.927999973297119, 1.871999979019165, 1.8860000371932983, 1.3980000019073486, 1.3819999694824219, 1.9620000123977661, 3.8399999141693115, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.6519999504089355, 1.4900000095367432, inf, 2.7279999256134033, 3.9839999675750732, inf, 1.6260000467300415, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.519999980926514, inf, 4.5920000076293945, 0.8619999885559082, 0.8579999804496765, 0.9139999747276306, 1.8559999465942383, 1.8960000276565552, 1.9539999961853027, 1.7719999551773071, inf, inf, 1.343999981880188, 2.74399995803833, 1.4900000095367432, 1.5839999914169312, 1.5399999618530273, 1.5099999904632568, 1.3760000467300415, 2.5439999103546143, 2.552000045776367, 2.380000114440918]","[1.162, 0.005]",2
"[0.5569730584236541, -0.007141365323194175]","[1.7186837428331163, -0.001855292791136165]",1.162,"[0.000600858390485199, 0.999999819484581]","[2.303999900817871, 2.3440001010894775, 2.5999999046325684, 2.6480000019073486, 1.5700000524520874, 1.3860000371932983, 1.7139999866485596, 1.7699999809265137, 1.6460000276565552, 2.0399999618530273, 1.7259999513626099, 2.1040000915527344, 2.3320000171661377, 4.25600004196167, 4.168000221252441, 4.3520002365112305, 3.819999933242798, 0.843999981880188, 3.7839999198913574, 3.9159998893737793, 3.927999973297119, 1.871999979019165, 1.8860000371932983, 1.3980000019073486, 1.3819999694824219, 1.9639999866485596, 3.8359999656677246, 1.9620000123977661, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.6559998989105225, 1.4919999837875366, inf, inf, 3.9800000190734863, 1.6720000505447388, 1.628000020980835, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.464000225067139, inf, 4.584000110626221, 0.8519999980926514, 0.8579999804496765, 0.9100000262260437, 1.8660000562667847, 1.8940000534057617, 1.9520000219345093, 1.7879999876022339, 0.7559999823570251, inf, 1.3459999561309814, 2.7360000610351562, 1.4800000190734863, 1.5839999914169312, 1.5420000553131104, 1.5099999904632568, 1.3980000019073486, 2.5439999103546143, 2.555999994277954, 2.375999927520752]","[1.162, 0.005]",2
"[0.5576899921675725, -0.007109938002303432]","[1.7186837428331163, -0.001855292791136165]",1.161,"[0.0007882713809439004, 0.9999996893140667]","[2.303999900817871, 2.3440001010894775, 2.5999999046325684, 2.6480000019073486, 1.5740000009536743, 1.3739999532699585, 1.7120000123977661, 1.7879999876022339, 1.6480000019073486, 1.7940000295639038, 1.7419999837875366, 2.0840001106262207, 2.3519999980926514, 4.263999938964844, 4.168000221252441, 4.3520002365112305, 3.828000068664551, 0.843999981880188, 3.7839999198913574, 3.9639999866485596, 3.931999921798706, 1.871999979019165, 1.8860000371932983, 1.3980000019073486, 1.3819999694824219, 1.9639999866485596, 3.8399999141693115, 1.8600000143051147, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2599999904632568, 1.4880000352859497, 3.328000068664551, inf, 3.9760000705718994, 1.6699999570846558, 1.6200000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.455999851226807, inf, 4.5920000076293945, 0.8579999804496765, 0.8640000224113464, 0.9079999923706055, 1.8459999561309814, 1.8960000276565552, 1.9539999961853027, 1.7860000133514404, inf, inf, 1.343999981880188, 2.74399995803833, 1.4800000190734863, 1.5839999914169312, 1.5420000553131104, 1.5099999904632568, 1.3580000400543213, 2.5439999103546143, 2.552000045776367, 2.364000082015991]","[1.161, 0.005]",2
"[0.5593894266766406, -0.00714933032025786]","[1.7186837428331163, -0.001855292791136165]",1.159,"[0.0005027242999022294, 0.9999998736341311]","[2.303999900817871, 2.3440001010894775, 2.5999999046325684, 2.6480000019073486, 1.565999984741211, 1.3839999437332153, 1.7100000381469727, 1.7519999742507935, 1.6540000438690186, 1.809999942779541, 1.7300000190734863, 2.0880000591278076, 2.3559999465942383, 4.263999938964844, 4.176000118255615, 4.335999965667725, 3.828000068664551, 0.8420000076293945, 3.9119999408721924, 4.019999980926514, 3.944000005722046, 1.8660000562667847, 1.8799999952316284, 1.3899999856948853, 1.3880000114440918, 1.9620000123977661, 3.8399999141693115, 1.9579999446868896, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2480000257492065, 1.24399995803833, inf, inf, 3.5320000648498535, 1.659999966621399, 1.6260000467300415, 1.7139999866485596, 1.8179999589920044, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.464000225067139, inf, 4.584000110626221, 0.8679999709129333, 0.8640000224113464, 0.9160000085830688, 1.8480000495910645, 1.8919999599456787, 1.9520000219345093, 1.7760000228881836, 0.75, inf, 1.343999981880188, 2.740000009536743, 1.4739999771118164, 1.5859999656677246, 1.5440000295639038, 1.5119999647140503, inf, 2.5439999103546143, 2.555999994277954, 2.427999973297119]","[1.159, 0.005]",2
"[0.5625055031561437, -0.007070315151702417]","[1.7186837428331163, -0.001855292791136165]",1.156,"[0.0002565443323271473, 0.9999999670925023]","[2.299999952316284, 2.3359999656677246, 2.5999999046325684, 2.6480000019073486, 1.5679999589920044, 1.3839999437332153, 1.7079999446868896, inf, 1.6540000438690186, 1.8240000009536743, 1.7280000448226929, 2.0880000591278076, 2.2880001068115234, 2.4719998836517334, 4.168000221252441, 4.343999862670898, 3.819999933242798, 0.8420000076293945, 3.7960000038146973, 3.9600000381469727, 3.944000005722046, 1.871999979019165, 1.8860000371932983, 1.3899999856948853, 1.3880000114440918, 1.9600000381469727, 3.8359999656677246, 1.8700000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2300000190734863, 1.2319999933242798, 3.328000068664551, inf, 3.9560000896453857, 1.6720000505447388, 1.6260000467300415, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.4720001220703125, inf, 4.5920000076293945, 0.8840000033378601, 0.8640000224113464, 0.9259999990463257, 1.8359999656677246, 1.8899999856948853, 1.9520000219345093, 1.7899999618530273, inf, inf, 1.343999981880188, 2.740000009536743, 1.4880000352859497, 1.5839999914169312, 1.5420000553131104, 1.5099999904632568, 1.3639999628067017, 2.563999891281128, 2.552000045776367, 2.368000030517578]","[1.156, 0.005]",2
"[0.5645363035603238, -0.0070633016638214]","[1.7186837428331163, -0.001855292791136165]",1.154,"[0.00047500268529253927, 0.9999998871862181]","[2.303999900817871, 2.3399999141693115, 2.5959999561309814, 2.6440000534057617, 1.5880000591278076, 1.3839999437332153, 1.7100000381469727, 1.7719999551773071, 1.6519999504089355, 1.812000036239624, 1.753999948501587, 2.0880000591278076, 2.3559999465942383, 4.271999835968018, 4.184000015258789, 4.328000068664551, 3.815999984741211, 0.8379999995231628, 3.7960000038146973, 3.9719998836517334, 3.944000005722046, 1.871999979019165, 1.8860000371932983, 1.3899999856948853, 1.3880000114440918, 1.9620000123977661, 3.8359999656677246, 1.8700000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2100000381469727, 1.222000002861023, 3.328000068664551, inf, 3.9800000190734863, 1.8580000400543213, 1.6260000467300415, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.4720001220703125, inf, 4.584000110626221, inf, 0.878000020980835, 0.9359999895095825, 1.8359999656677246, 1.8940000534057617, 1.9539999961853027, 1.7760000228881836, inf, inf, 1.343999981880188, 2.7360000610351562, 1.4800000190734863, 1.5859999656677246, 1.5440000295639038, 1.5119999647140503, 1.3539999723434448, 2.5439999103546143, 2.555999994277954, 2.3919999599456787]","[1.154, 0.005]",2
"[0.5660661956646437, -0.007076803105867464]","[1.7186837428331163, -0.001855292791136165]",1.153,"[-0.0001178781955438442, 0.9999999930523655]","[2.299999952316284, 2.3359999656677246, 2.5999999046325684, 2.6480000019073486, 1.5820000171661377, 1.3940000534057617, 1.7100000381469727, 1.7760000228881836, 1.649999976158142, 2.0399999618530273, 1.7319999933242798, 2.0799999237060547, 2.3559999465942383, 4.248000144958496, 4.176000118255615, 4.343999862670898, 3.8239998817443848, 0.8479999899864197, 3.819999933242798, 4.0, 3.936000108718872, 1.8700000047683716, 1.8860000371932983, 1.3960000276565552, 1.3880000114440918, 1.9620000123977661, 3.8320000171661377, 1.9579999446868896, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2100000381469727, 1.2039999961853027, inf, inf, 3.9200000762939453, 1.659999966621399, 1.6319999694824219, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.464000225067139, inf, 4.584000110626221, 4.776000022888184, 0.8899999856948853, 0.9399999976158142, 0.9259999990463257, 1.8899999856948853, 1.9479999542236328, 1.7899999618530273, inf, inf, 1.343999981880188, 2.74399995803833, 1.4859999418258667, 1.5880000591278076, 1.5479999780654907, 1.5099999904632568, 1.4600000381469727, 2.5840001106262207, 2.555999994277954, 2.368000030517578]","[1.153, 0.005]",2
"[0.5669411037023442, -0.007054533800360062]","[1.7186837428331163, -0.001855292791136165]",1.152,"[0.0001197120554046315, 0.9999999928345119]","[2.303999900817871, 2.3359999656677246, 2.5959999561309814, 2.6440000534057617, 1.5859999656677246, 1.3860000371932983, 1.7079999446868896, inf, 1.6540000438690186, 1.8179999589920044, 1.75600004196167, 2.0799999237060547, 2.359999895095825, 2.4679999351501465, 4.176000118255615, 4.328000068664551, 3.8239998817443848, 0.8420000076293945, inf, 3.9600000381469727, 3.944000005722046, 1.8700000047683716, 1.8819999694824219, 1.3899999856948853, 1.3880000114440918, 1.9620000123977661, 3.8359999656677246, 1.8700000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2000000476837158, inf, inf, 3.9600000381469727, 1.6699999570846558, 1.628000020980835, 1.7100000381469727, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.4720001220703125, inf, 4.584000110626221, 4.76800012588501, 0.9160000085830688, 0.9520000219345093, 0.9240000247955322, 1.8899999856948853, 1.9500000476837158, 1.7879999876022339, inf, inf, 1.3459999561309814, 2.74399995803833, 1.4780000448226929, 1.5880000591278076, 1.5479999780654907, 1.5099999904632568, 1.4620000123977661, 2.5759999752044678, 2.555999994277954, 2.368000030517578]","[1.152, 0.005]",2
"[0.5673176754097237, -0.007036091953228959]","[1.7186837428331163, -0.001855292791136165]",1.151,"[0.00015680424821289137, 0.9999999877062138]","[2.303999900817871, 2.3399999141693115, 2.5999999046325684, 2.6480000019073486, 1.562000036239624, 1.3940000534057617, 1.7100000381469727, 1.7740000486373901, 1.659999966621399, 1.8079999685287476, 1.746000051498413, 2.0999999046325684, 2.359999895095825, 2.4639999866485596, 4.168000221252441, 4.343999862670898, 3.8239998817443848, 0.843999981880188, 3.759999990463257, 3.9240000247955322, 3.944000005722046, 1.871999979019165, 1.8880000114440918, 1.3799999952316284, 1.3880000114440918, 1.9600000381469727, 3.8359999656677246, 1.899999976158142, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.4259999990463257, 1.1920000314712524, 3.319999933242798, inf, 3.5480000972747803, inf, 1.621999979019165, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.464000225067139, inf, 4.584000110626221, 4.760000228881836, 0.9340000152587891, 0.9480000138282776, 0.9200000166893005, 1.8880000114440918, 1.9500000476837158, 1.7760000228881836, inf, inf, 1.3459999561309814, 2.7360000610351562, 1.4639999866485596, 1.5880000591278076, 1.5460000038146973, 1.5140000581741333, 1.4620000123977661, 2.5439999103546143, 2.552000045776367, 2.364000082015991]","[1.151, 0.005]",2
"[0.5683568162432264, -0.006992134386293896]","[1.7186837428331163, -0.001855292791136165]",1.15,"[0.00040596709147725695, 0.9999999175953569]","[2.303999900817871, 2.3320000171661377, 2.5999999046325684, 2.6480000019073486, 1.5640000104904175, 1.3980000019073486, 1.7100000381469727, 1.753999948501587, 1.6519999504089355, 1.805999994277954, 1.7339999675750732, 2.0959999561309814, 2.3559999465942383, 4.263999938964844, 4.176000118255615, 4.335999965667725, 3.8239998817443848, 0.8420000076293945, 3.7639999389648438, 3.996000051498413, 3.940000057220459, 1.8700000047683716, 1.8860000371932983, 1.378000020980835, 1.3919999599456787, 1.9600000381469727, 3.8399999141693115, 1.8960000276565552, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.4179999828338623, 1.1979999542236328, 3.319999933242798, inf, 3.552000045776367, inf, 1.6260000467300415, 1.7100000381469727, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.495999813079834, inf, 4.5920000076293945, 4.639999866485596, 0.9399999976158142, 0.9359999895095825, 0.921999990940094, 1.8860000371932983, 1.9600000381469727, 1.7879999876022339, inf, inf, 1.3580000400543213, 2.747999906539917, 1.4780000448226929, 1.5859999656677246, 1.5440000295639038, 1.5119999647140503, inf, 2.5439999103546143, 2.555999994277954, 2.5160000324249268]","[1.15, 0.005]",2
