car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[0.5695312681432058, -0.006928711691890523]","[1.7186837428331163, -0.001855292791136165]",1.149,"[0.0009688060669540797, 0.9999995307072922]","[2.303999900817871, 2.3359999656677246, 2.5959999561309814, 2.6480000019073486, 1.5779999494552612, 1.3899999856948853, 1.7079999446868896, 1.7699999809265137, 1.6540000438690186, 2.0320000648498535, 1.7300000190734863, 2.068000078201294, 2.3519999980926514, 2.4719998836517334, 4.176000118255615, 4.335999965667725, 3.828000068664551, 0.843999981880188, inf, 4.015999794006348, 3.940000057220459, 1.8700000047683716, 1.8819999694824219, 1.3940000534057617, 1.3919999599456787, 1.9620000123977661, 3.8320000171661377, 1.8619999885559082, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.6519999504089355, 1.194000005722046, inf, inf, 3.9639999866485596, 1.6619999408721924, 1.6260000467300415, 1.7100000381469727, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.480000019073486, inf, 4.584000110626221, 4.679999828338623, 0.9520000219345093, 0.9359999895095825, 0.9259999990463257, 1.8860000371932983, 1.9600000381469727, 1.7799999713897705, inf, inf, 1.3559999465942383, 2.740000009536743, 1.4819999933242798, 1.5859999656677246, 1.5479999780654907, 1.5119999647140503, 1.3539999723434448, 2.5439999103546143, 2.555999994277954, 2.371999979019165]","[1.149, 0.005]",2
"[0.5716360320759546, -0.006958411688807012]","[1.7186837428331163, -0.001855292791136165]",1.147,"[-8.627844416698736e-05, 0.9999999962780151]","[2.303999900817871, 2.3399999141693115, 2.5999999046325684, 2.6480000019073486, 1.5740000009536743, 1.3980000019073486, 1.7100000381469727, inf, 1.6540000438690186, 2.0460000038146973, 1.8020000457763672, 2.072000026702881, 2.359999895095825, 4.263999938964844, 4.176000118255615, 4.335999965667725, 3.8239998817443848, 0.8460000157356262, 3.828000068664551, 3.671999931335449, 3.944000005722046, 1.8700000047683716, 1.8799999952316284, 1.378000020980835, 1.3899999856948853, 1.9620000123977661, 3.8320000171661377, 1.8639999628067017, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 2.6480000019073486, 1.194000005722046, inf, inf, 3.947999954223633, 1.8519999980926514, 1.6200000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.464000225067139, inf, 4.584000110626221, 4.728000164031982, 0.9599999785423279, 0.9399999976158142, 0.9319999814033508, 1.8860000371932983, 1.9559999704360962, 1.7760000228881836, inf, inf, inf, 2.7360000610351562, 1.4620000123977661, 1.5880000591278076, 1.5460000038146973, 1.5140000581741333, 1.4639999866485596, 2.5439999103546143, 2.555999994277954, 2.380000114440918]","[1.147, 0.005]",2
"[0.5751500206055874, -0.00692021854114008]","[1.7186837428331163, -0.001855292791136165]",1.144,"[-0.0007133305777740666, 0.999999745579711]","[2.303999900817871, 2.3359999656677246, 2.5999999046325684, 2.6480000019073486, 1.562000036239624, 1.3940000534057617, 1.7079999446868896, 1.777999997138977, 1.6640000343322754, 1.8040000200271606, 1.7400000095367432, 2.0959999561309814, 2.3359999656677246, 2.4560000896453857, 4.159999847412109, 4.311999797821045, 3.8320000171661377, 0.8379999995231628, inf, 3.9240000247955322, 3.944000005722046, 1.8700000047683716, 1.8839999437332153, 1.3839999437332153, 1.3860000371932983, 1.9620000123977661, 3.8359999656677246, 1.8700000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2020000219345093, 3.3359999656677246, inf, 3.5439999103546143, inf, 1.6160000562667847, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.4720001220703125, inf, 4.584000110626221, 4.71999979019165, inf, 0.9440000057220459, 0.9399999976158142, 1.8860000371932983, 1.9600000381469727, 1.7879999876022339, inf, inf, inf, 2.747999906539917, 1.4620000123977661, 1.5880000591278076, 1.5460000038146973, 1.5140000581741333, 1.3200000524520874, 2.5799999237060547, 2.555999994277954, 2.368000030517578]","[1.144, 0.005]",2
"[0.5759555726763042, -0.00686901587185487]","[1.7186837428331163, -0.001855292791136165]",1.143,"[-0.00044268250894506536, 0.9999999020160933]","[2.303999900817871, 2.3320000171661377, 2.5959999561309814, 2.6480000019073486, 1.5740000009536743, 1.4019999504089355, 1.7100000381469727, inf, 1.6540000438690186, 1.8079999685287476, 1.75, 2.0799999237060547, 2.359999895095825, 2.4600000381469727, 4.176000118255615, 4.303999900817871, 3.819999933242798, 0.8460000157356262, 3.7639999389648438, 3.6760001182556152, 3.947999954223633, 1.8680000305175781, 1.8799999952316284, 1.3819999694824219, 1.3860000371932983, 1.9620000123977661, 3.8399999141693115, 1.8680000305175781, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2000000476837158, inf, inf, 3.559999942779541, 1.656000018119812, 1.6160000562667847, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.4720001220703125, inf, 4.584000110626221, 4.736000061035156, 4.480000019073486, 0.9580000042915344, 0.9440000057220459, 1.8860000371932983, 1.968000054359436, 1.7920000553131104, inf, inf, inf, 2.7320001125335693, 1.465999960899353, 1.590000033378601, 1.5479999780654907, 1.5140000581741333, 1.340000033378601, 2.5480000972747803, 2.555999994277954, 2.384000062942505]","[1.143, 0.005]",2
"[0.5779935151277459, -0.006839872638889794]","[1.7186837428331163, -0.001855292791136165]",1.141,"[5.573078774939908e-05, 0.9999999984470397]","[2.303999900817871, 2.3359999656677246, 2.5959999561309814, 2.6480000019073486, 1.5740000009536743, 1.4040000438690186, 1.7100000381469727, inf, 1.6540000438690186, 2.0139999389648438, 1.8040000200271606, 2.0799999237060547, 2.359999895095825, 2.4600000381469727, 4.176000118255615, 4.328000068664551, 3.8239998817443848, 0.843999981880188, inf, 3.6559998989105225, 3.944000005722046, 1.8700000047683716, 1.8819999694824219, 1.3819999694824219, 1.3899999856948853, 1.9620000123977661, 3.8440001010894775, 1.8680000305175781, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.222000002861023, inf, inf, 3.9760000705718994, 1.6699999570846558, 1.6200000047683716, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.464000225067139, inf, 4.584000110626221, 4.696000099182129, 4.48799991607666, 0.9760000109672546, 0.9580000042915344, 1.8860000371932983, 1.9620000123977661, 1.7920000553131104, inf, inf, inf, 2.74399995803833, 1.4700000286102295, 1.5880000591278076, 1.5460000038146973, 1.5140000581741333, 1.315999984741211, 2.5799999237060547, 2.552000045776367, 2.368000030517578]","[1.141, 0.005]",2
"[0.5793345468007512, -0.006843454829960292]","[1.7186837428331163, -0.001855292791136165]",1.139,"[-0.0004125136562008716, 0.9999999149162381]","[2.303999900817871, 2.3359999656677246, 2.5999999046325684, 2.6559998989105225, 1.5820000171661377, 1.4019999504089355, 1.7059999704360962, 1.7719999551773071, 1.659999966621399, 1.8020000457763672, 1.7400000095367432, 2.0840001106262207, 2.3399999141693115, 2.4639999866485596, 4.159999847412109, 4.296000003814697, 3.828000068664551, 0.8399999737739563, 3.7720000743865967, 3.687999963760376, 3.944000005722046, 1.8680000305175781, 1.8839999437332153, 1.3899999856948853, 1.409999966621399, 1.9600000381469727, 3.8359999656677246, 1.9279999732971191, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2239999771118164, 1.222000002861023, inf, inf, inf, 1.8839999437332153, 1.6299999952316284, 1.7139999866485596, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.464000225067139, inf, 4.576000213623047, 4.688000202178955, 4.480000019073486, 1.003999948501587, 0.9919999837875366, inf, 1.972000002861023, 1.7899999618530273, inf, inf, 1.3600000143051147, 2.7239999771118164, 1.4579999446868896, 1.590000033378601, 1.5479999780654907, 1.5140000581741333, 1.3380000591278076, 2.5480000972747803, 2.552000045776367, 2.5320000648498535]","[1.139, 0.005]",2
"[0.5794365907189689, -0.006803666215802232]","[1.7186837428331163, -0.001855292791136165]",1.139,"[-0.00028819321455221455, 0.9999999584723347]","[2.303999900817871, 2.3359999656677246, 2.5959999561309814, 2.6600000858306885, 1.600000023841858, 1.399999976158142, 1.7039999961853027, 1.7740000486373901, 1.659999966621399, 1.8200000524520874, 1.7339999675750732, 2.0880000591278076, 2.3399999141693115, 2.4639999866485596, 4.159999847412109, 4.320000171661377, 3.8320000171661377, inf, inf, 3.691999912261963, 3.944000005722046, 1.8700000047683716, 1.8860000371932983, 1.3860000371932983, 1.3940000534057617, 1.9620000123977661, 3.8399999141693115, 1.8639999628067017, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2120000123977661, 1.2359999418258667, inf, inf, 3.9839999675750732, 1.6759999990463257, 1.6200000047683716, 1.7139999866485596, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.464000225067139, inf, 4.584000110626221, 4.688000202178955, 4.48799991607666, inf, 1.003999948501587, 0.9679999947547913, 1.972000002861023, 1.7920000553131104, inf, inf, 1.3480000495910645, inf, 1.465999960899353, 1.5920000076293945, 1.5479999780654907, 1.5140000581741333, 1.3639999628067017, 2.5759999752044678, 2.552000045776367, 2.380000114440918]","[1.139, 0.005]",2
"[0.5807003451552867, -0.00681310253491285]","[1.7186837428331163, -0.001855292791136165]",1.138,"[-0.0006746741884218382, 0.9999997724073438]","[2.303999900817871, 2.3320000171661377, 2.5959999561309814, 2.6559998989105225, 1.5759999752044678, 1.4079999923706055, 1.7079999446868896, 1.7740000486373901, 1.6679999828338623, 2.0420000553131104, 1.809999942779541, 2.0799999237060547, 2.3239998817443848, 2.4560000896453857, 4.159999847412109, 4.288000106811523, 3.8399999141693115, 0.8479999899864197, 3.7960000038146973, 3.6559998989105225, 3.944000005722046, 1.8680000305175781, 1.8799999952316284, 1.3799999952316284, 1.3899999856948853, 1.9620000123977661, 3.8320000171661377, 1.8660000562667847, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2120000123977661, 1.2319999933242798, 3.3239998817443848, inf, 3.5360000133514404, 1.840000033378601, 1.6339999437332153, 1.7200000286102295, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.455999851226807, 4.248000144958496, 4.584000110626221, 4.688000202178955, 4.4720001220703125, 1.0679999589920044, 1.0460000038146973, 0.9679999947547913, 1.965999960899353, 1.7879999876022339, inf, inf, 1.3459999561309814, inf, 1.4559999704360962, 1.590000033378601, 1.5479999780654907, 1.5140000581741333, 1.305999994277954, 2.5399999618530273, 2.555999994277954, 2.3959999084472656]","[1.138, 0.005]",2
"[0.5818466630783562, -0.006746857590686179]","[1.7186837428331163, -0.001855292791136165]",1.137,"[-0.00024198387554672735, 0.9999999707219016]","[2.303999900817871, 2.3359999656677246, 2.5959999561309814, 2.6600000858306885, 1.5839999914169312, 1.399999976158142, 1.7059999704360962, 1.7719999551773071, 1.659999966621399, 1.809999942779541, 1.8339999914169312, 2.0840001106262207, 2.3440001010894775, 2.4639999866485596, 4.159999847412109, 4.311999797821045, 3.8320000171661377, inf, inf, 3.6440000534057617, 3.944000005722046, 1.8700000047683716, 1.8799999952316284, 1.3839999437332153, 1.3960000276565552, 1.9620000123977661, 3.8399999141693115, 1.8660000562667847, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2059999704360962, inf, inf, inf, 3.9839999675750732, 1.6740000247955322, 1.6180000305175781, 1.7139999866485596, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.455999851226807, inf, 4.576000213623047, 4.711999893188477, 4.48799991607666, inf, 1.0579999685287476, 0.9679999947547913, 1.9739999771118164, 1.7920000553131104, inf, inf, 1.3480000495910645, inf, 1.465999960899353, 1.5920000076293945, 1.5479999780654907, 1.5140000581741333, inf, 2.5759999752044678, 2.552000045776367, 2.368000030517578]","[1.137, 0.005]",2
"[0.5823436571697918, -0.006699995629618187]","[1.7186837428331163, -0.001855292791136165]",1.136,"[-0.00024642098883406245, 0.9999999696383477]","[2.308000087738037, 2.3320000171661377, 2.5959999561309814, 2.6559998989105225, 1.5839999914169312, 1.409999966621399, 1.7079999446868896, 1.805999994277954, 1.6579999923706055, 2.0420000553131104, 1.8279999494552612, 2.059999942779541, 2.3480000495910645, 2.4519999027252197, 4.159999847412109, 4.28000020980835, 3.8399999141693115, 0.8479999899864197, inf, 3.640000104904175, 3.944000005722046, 1.8680000305175781, 1.8799999952316284, 1.3799999952316284, 1.3899999856948853, 1.9620000123977661, 3.8320000171661377, 1.8680000305175781, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2139999866485596, inf, 3.3239998817443848, inf, 3.5280001163482666, inf, 1.6299999952316284, 1.715999960899353, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.455999851226807, 4.263999938964844, 4.576000213623047, 4.688000202178955, 4.4720001220703125, inf, 1.059999942779541, 0.9660000205039978, 1.9639999866485596, 1.7879999876022339, inf, inf, 1.350000023841858, inf, 1.4559999704360962, 1.590000033378601, 1.5479999780654907, 1.5140000581741333, 1.312000036239624, 2.5399999618530273, 2.555999994277954, 2.380000114440918]","[1.136, 0.005]",2
"[0.583468851624659, -0.00670877422596802]","[1.7186837428331163, -0.001855292791136165]",1.135,"[-0.0006709886089509822, 0.999999774887118]","[2.308000087738037, 2.3320000171661377, 2.5999999046325684, 2.6559998989105225, 1.5740000009536743, 1.406000018119812, 1.7039999961853027, inf, 1.6619999408721924, 2.0439999103546143, 1.75, 2.0799999237060547, 2.3239998817443848, 2.4600000381469727, 4.168000221252441, 4.288000106811523, 3.8359999656677246, 0.843999981880188, 3.7760000228881836, 3.944000005722046, 3.944000005722046, 1.8700000047683716, 1.8819999694824219, 1.3860000371932983, 1.3880000114440918, 1.9620000123977661, 3.8399999141693115, 1.8940000534057617, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2419999837875366, 7.711999893188477, inf, inf, 3.5439999103546143, inf, 1.6200000047683716, 1.7139999866485596, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.455999851226807, inf, 4.576000213623047, 4.688000202178955, 4.464000225067139, inf, 1.059999942779541, 0.9639999866485596, 1.9639999866485596, 1.7879999876022339, inf, inf, 1.350000023841858, inf, 1.4600000381469727, 1.590000033378601, 1.5479999780654907, 1.5160000324249268, 1.309999942779541, 2.5399999618530273, 2.555999994277954, 2.380000114440918]","[1.135, 0.005]",2
"[0.5851231694485305, -0.006640909157220601]","[1.7186837428331163, -0.001855292791136165]",1.134,"[-0.00015542401929379365, 0.9999999879216871]","[2.303999900817871, 2.3359999656677246, 2.5959999561309814, 2.6600000858306885, 1.5820000171661377, 1.409999966621399, 1.7079999446868896, 1.781999945640564, 1.659999966621399, 2.0420000553131104, 1.8279999494552612, 2.0880000591278076, 2.3440001010894775, 2.4679999351501465, 4.168000221252441, 4.271999835968018, 3.8320000171661377, 0.8420000076293945, 3.7799999713897705, 3.640000104904175, 3.944000005722046, 1.8680000305175781, 1.878000020980835, 1.3819999694824219, 1.3960000276565552, 1.9600000381469727, 3.8320000171661377, 1.8799999952316284, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2480000257492065, inf, 3.3239998817443848, inf, 3.5959999561309814, 1.8380000591278076, 1.6239999532699585, 1.7200000286102295, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.455999851226807, 4.271999835968018, 4.576000213623047, 4.688000202178955, 4.4720001220703125, 4.599999904632568, 1.059999942779541, 0.9620000123977661, 1.9759999513626099, 1.8020000457763672, inf, inf, 1.3480000495910645, inf, 1.4500000476837158, 1.5920000076293945, 1.5479999780654907, 1.5160000324249268, 1.3700000047683716, 2.563999891281128, 2.555999994277954, 2.380000114440918]","[1.134, 0.005]",2
"[0.5861845147294028, -0.006617620494659723]","[1.7186837428331163, -0.001855292791136165]",1.133,"[-0.00030975468199985105, 0.9999999520260173]","[2.303999900817871, 2.3359999656677246, 2.5959999561309814, 2.6600000858306885, 2.696000099182129, 1.406000018119812, 1.7000000476837158, inf, 1.6660000085830688, 2.0360000133514404, 1.812000036239624, 2.0759999752044678, 2.319999933242798, 2.4560000896453857, 4.176000118255615, 4.288000106811523, 3.8320000171661377, inf, inf, 4.015999794006348, 3.944000005722046, 1.871999979019165, 1.8819999694824219, 1.3819999694824219, 1.3819999694824219, 1.9600000381469727, 3.8359999656677246, 1.8739999532699585, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2519999742507935, inf, inf, inf, 3.5439999103546143, 1.850000023841858, 1.6239999532699585, 1.7200000286102295, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.455999851226807, inf, 4.584000110626221, 4.696000099182129, 4.504000186920166, inf, 1.0360000133514404, 0.9620000123977661, 1.9739999771118164, 1.7940000295639038, inf, inf, 1.350000023841858, inf, 1.4500000476837158, 1.5920000076293945, 1.5479999780654907, 1.5160000324249268, 1.2999999523162842, 2.552000045776367, 2.555999994277954, 2.431999921798706]","[1.132, 0.005]",2
"[0.5879799852813243, -0.006572190803385284]","[1.7186837428331163, -0.001855292791136165]",1.131,"[-0.00045328765163245706, 0.9999998972651472]","[2.303999900817871, 2.3359999656677246, 2.5959999561309814, 2.6559998989105225, 1.5820000171661377, 1.4119999408721924, 1.7059999704360962, 1.7799999713897705, 1.6720000505447388, 2.0420000553131104, 1.8300000429153442, 2.0880000591278076, 2.303999900817871, 2.447999954223633, 4.168000221252441, 4.271999835968018, 3.8399999141693115, 0.843999981880188, inf, 3.927999973297119, 3.947999954223633, 1.8700000047683716, 1.878000020980835, 1.3839999437332153, 1.3940000534057617, 1.9620000123977661, 3.8399999141693115, 1.899999976158142, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2640000581741333, 7.8480000495910645, inf, inf, 3.5439999103546143, 1.8660000562667847, 1.6339999437332153, 1.7200000286102295, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.455999851226807, 4.271999835968018, 4.584000110626221, 4.688000202178955, 4.4720001220703125, 0.9919999837875366, 0.9599999785423279, 1.8880000114440918, 1.9800000190734863, 1.7879999876022339, inf, inf, 1.3680000305175781, 2.7279999256134033, 1.4479999542236328, 1.593999981880188, 1.5479999780654907, 1.5160000324249268, 1.3220000267028809, 2.2639999389648438, 2.555999994277954, 2.368000030517578]","[1.131, 0.005]",2
"[0.5892585731632852, -0.006547722439526653]","[1.7186837428331163, -0.001855292791136165]",1.129,"[0.0001394419514916077, 0.999999990277971]","[2.312000036239624, 2.3320000171661377, 2.5959999561309814, 2.6559998989105225, 1.5720000267028809, 1.4140000343322754, 1.7039999961853027, inf, 1.6619999408721924, 2.0439999103546143, 1.8240000009536743, 2.0999999046325684, 2.328000068664551, 2.4600000381469727, 4.168000221252441, 4.288000106811523, 3.8320000171661377, 0.8460000157356262, 3.759999990463257, 3.9159998893737793, 3.944000005722046, 1.8700000047683716, 1.878000020980835, 1.3940000534057617, 1.3919999599456787, 1.9600000381469727, 3.8359999656677246, 1.8839999437332153, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.2680000066757202, inf, 3.3359999656677246, inf, 3.5439999103546143, 1.8359999656677246, 1.6239999532699585, 1.715999960899353, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.447999954223633, 4.23199987411499, 4.584000110626221, 4.703999996185303, 4.4720001220703125, 0.9419999718666077, 0.9340000152587891, 1.8860000371932983, 1.9859999418258667, 1.7920000553131104, inf, inf, inf, 2.740000009536743, 1.4520000219345093, 1.5920000076293945, 1.5479999780654907, 1.5160000324249268, 1.3380000591278076, 2.559999942779541, 2.555999994277954, 2.5199999809265137]","[1.129, 0.005]",2
"[0.590159392227321, -0.006542182017458257]","[1.7186837428331163, -0.001855292791136165]",1.129,"[0.00023519752820070608, 0.999999972341061]","[2.303999900817871, 2.3320000171661377, 2.5920000076293945, 2.6559998989105225, 2.696000099182129, 1.4019999504089355, 1.7020000219345093, 1.7719999551773071, 1.6660000085830688, 2.055999994277954, 1.7999999523162842, 2.0959999561309814, 2.328000068664551, 2.4600000381469727, 4.168000221252441, 4.288000106811523, 3.8320000171661377, 0.8519999980926514, 3.747999906539917, 3.6760001182556152, 3.944000005722046, 1.8700000047683716, 1.8839999437332153, 1.3839999437332153, 1.406000018119812, 1.9600000381469727, 3.8359999656677246, 1.878000020980835, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.3359999656677246, inf, 3.5280001163482666, inf, 1.621999979019165, 1.722000002861023, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.432000160217285, 4.447999954223633, inf, 4.584000110626221, 4.696000099182129, 0.9319999814033508, 0.9079999923706055, 0.9160000085830688, 1.8799999952316284, 1.9839999675750732, 1.7940000295639038, inf, inf, inf, 2.74399995803833, 1.4500000476837158, 1.5920000076293945, 1.5479999780654907, 1.5180000066757202, 1.3339999914169312, 2.559999942779541, 2.555999994277954, 2.5239999294281006]","[1.129, 0.005]",2
