car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[0.6218283522182573, -0.006586919578812506]","[1.7186837428331163, -0.001855292791136165]",1.097,"[-0.007452858484884244, 0.9999722270645341]","[2.328000068664551, 2.3239998817443848, 2.5920000076293945, 2.6480000019073486, 2.687999963760376, 1.468000054359436, 1.6859999895095825, 1.7619999647140503, 1.7200000286102295, inf, 1.8380000591278076, 1.7899999618530273, 2.2279999256134033, 2.380000114440918, 4.288000106811523, 4.119999885559082, 3.868000030517578, inf, inf, 4.01200008392334, 3.9560000896453857, 1.871999979019165, 1.8860000371932983, 1.3860000371932983, 1.5579999685287476, 1.9559999704360962, 3.815999984741211, 1.8839999437332153, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.216000080108643, 8.112000465393066, inf, 3.5799999237060547, 4.639999866485596, inf, 1.6080000400543213, 1.722000002861023, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.271999835968018, 4.584000110626221, 4.6479997634887695, 0.9480000138282776, 0.9639999866485596, 0.9559999704360962, 1.8519999980926514, 1.9479999542236328, 4.51200008392334, 1.5420000553131104, 0.75, inf, 1.3639999628067017, 1.3940000534057617, 1.5959999561309814, 1.5640000104904175, 1.527999997138977, 1.2319999933242798, 2.5959999561309814, 2.559999942779541, 2.640000104904175]","[1.097, 0.005]",2
"[0.6235519257596888, -0.006596164399728603]","[1.7186837428331163, -0.001855292791136165]",1.095,"[-0.006929781678788546, 0.9999759887746726]","[2.328000068664551, 2.3239998817443848, 2.5920000076293945, 2.6480000019073486, 2.687999963760376, 1.472000002861023, 1.687999963760376, 1.7599999904632568, 1.7200000286102295, inf, 1.8339999914169312, 1.7899999618530273, 2.2239999771118164, 2.380000114440918, 4.288000106811523, 4.119999885559082, 3.880000114440918, inf, inf, 4.015999794006348, 3.9560000896453857, 1.871999979019165, 1.8919999599456787, 1.3919999599456787, 1.559999942779541, 1.9559999704360962, 3.808000087738037, 1.8839999437332153, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.223999977111816, 8.088000297546387, inf, 3.5799999237060547, 4.656000137329102, inf, 1.6119999885559082, 1.715999960899353, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.271999835968018, inf, 4.6479997634887695, 0.9319999814033508, 0.9520000219345093, 0.9459999799728394, 1.8559999465942383, 1.9520000219345093, 4.535999774932861, 1.4980000257492065, 0.7480000257492065, inf, 1.3680000305175781, 1.3799999952316284, 1.600000023841858, 1.5640000104904175, 1.5299999713897705, 1.222000002861023, 2.5959999561309814, 2.559999942779541, 2.671999931335449]","[1.095, 0.005]",2
"[0.6266121397907511, -0.006607718445029832]","[1.7186837428331163, -0.001855292791136165]",1.092,"[-0.011177807061931203, 0.9999375263631655]","[2.3320000171661377, 2.3239998817443848, 2.631999969482422, 2.6440000534057617, 2.684000015258789, 1.5080000162124634, 1.690000057220459, 1.753999948501587, 1.74399995803833, 1.6059999465942383, 1.8179999589920044, 1.7940000295639038, 2.2079999446868896, 2.3480000495910645, 4.263999938964844, 4.0960001945495605, 3.880000114440918, inf, inf, 4.019999980926514, 3.9639999866485596, 1.8739999532699585, 1.9160000085830688, inf, 1.5880000591278076, 1.9500000476837158, 3.7960000038146973, 1.9620000123977661, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.223999977111816, 8.543999671936035, inf, 3.5840001106262207, 4.639999866485596, inf, 1.621999979019165, 1.5959999561309814, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.447999954223633, 4.263999938964844, 2.0420000553131104, 4.639999866485596, 0.906000018119812, 0.949999988079071, 0.9359999895095825, 1.843999981880188, 1.940000057220459, 4.552000045776367, 1.746000051498413, 0.7519999742507935, inf, 1.3539999723434448, 1.3739999532699585, inf, 1.5700000524520874, 1.534000039100647, 1.5099999904632568, 2.6040000915527344, 2.559999942779541, 2.6080000400543213]","[1.092, 0.005]",2
"[0.6320210131712198, -0.006781108937586456]","[1.7186837428331163, -0.001855292791136165]",1.087,"[-0.019978919846277015, 0.9998004014610996]","[2.368000030517578, 2.319999933242798, 2.380000114440918, 2.619999885559082, 2.684000015258789, 1.562000036239624, 1.3700000047683716, 1.7419999837875366, 1.7719999551773071, 1.6440000534057617, 1.7879999876022339, 1.7519999742507935, 2.2320001125335693, 2.299999952316284, 4.28000020980835, 4.144000053405762, 4.340000152587891, 3.815999984741211, inf, 3.875999927520752, 3.9679999351501465, 1.8960000276565552, 1.8819999694824219, inf, 1.5759999752044678, 1.944000005722046, 3.7960000038146973, 3.936000108718872, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.23199987411499, 2.619999885559082, inf, 3.555999994277954, 4.631999969482422, 3.492000102996826, 1.6480000019073486, 1.5679999589920044, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.311999797821045, inf, 4.607999801635742, 0.8759999871253967, 0.8740000128746033, 0.9179999828338623, 1.840000033378601, 1.9040000438690186, 4.567999839782715, 1.7799999713897705, inf, inf, 1.350000023841858, inf, 1.5379999876022339, 1.5820000171661377, 1.5479999780654907, 1.5160000324249268, 2.5999999046325684, 2.559999942779541, 2.5759999752044678]","[1.087, 0.005]",2
"[0.6361516025595383, -0.006925835659757322]","[1.7186837428331163, -0.001855292791136165]",1.083,"[-0.029698763118694165, 0.9995588944475556]","[2.4000000953674316, 2.3239998817443848, 2.359999895095825, 2.615999937057495, 2.6640000343322754, 2.7119998931884766, 1.4220000505447388, 1.7239999771118164, 1.7899999618530273, 1.6820000410079956, 2.063999891281128, 1.746000051498413, 2.111999988555908, 2.371999979019165, 4.311999797821045, 4.208000183105469, 4.343999862670898, 3.8359999656677246, 0.8600000143051147, 3.7320001125335693, 3.996000051498413, 1.9079999923706055, 1.8839999437332153, 1.8919999599456787, inf, 1.9479999542236328, 1.972000002861023, 3.9000000953674316, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.688000202178955, 2.631999969482422, 3.8320000171661377, 3.684000015258789, inf, 3.5239999294281006, inf, 1.5360000133514404, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.447999954223633, inf, 4.5920000076293945, 0.8420000076293945, 0.8479999899864197, 0.8999999761581421, 1.899999976158142, 1.8799999952316284, 1.965999960899353, 1.7960000038146973, inf, inf, 1.3619999885559082, 2.740000009536743, 1.4700000286102295, 1.6019999980926514, 1.5579999685287476, 1.527999997138977, 1.3639999628067017, 2.555999994277954, 2.568000078201294]","[1.083, 0.005]",2
"[0.6440040614693859, -0.007439279092631391]","[1.7186837428331163, -0.001855292791136165]",1.075,"[-0.03950159524232774, 0.9992195074023081]","[2.747999906539917, 2.3359999656677246, 2.3399999141693115, 2.635999917984009, 2.671999931335449, 2.7119998931884766, 1.4819999933242798, 1.7120000123977661, 1.7860000133514404, 1.7280000448226929, 2.072000026702881, 1.8480000495910645, 1.8179999589920044, 2.25600004196167, 2.431999921798706, 4.216000080108643, 4.184000015258789, 3.9000000953674316, inf, inf, 4.019999980926514, 3.9600000381469727, 1.8819999694824219, 1.8880000114440918, 1.3919999599456787, 1.3960000276565552, 1.965999960899353, 3.871999979019165, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.671999931335449, inf, inf, inf, inf, 3.5399999618530273, inf, 1.5360000133514404, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.271999835968018, 4.5920000076293945, inf, 0.7940000295639038, 0.8920000195503235, 1.9320000410079956, 1.8580000400543213, 1.9479999542236328, 4.495999813079834, 1.4819999933242798, 0.7580000162124634, 1.3739999532699585, 1.371999979019165, 1.406000018119812, 1.6200000047683716, 1.5839999914169312, 1.5479999780654907, 1.2359999418258667, 2.624000072479248, 2.5759999752044678]","[1.075, 0.006]",2
"[0.6495992958443824, -0.00794694995210746]","[1.7186837428331163, -0.001855292791136165]",1.069,"[-0.05150200044126455, 0.9986728913666116]","[2.611999988555908, 2.364000082015991, 2.3359999656677246, 2.4000000953674316, 2.6480000019073486, 2.696000099182129, 1.562000036239624, 1.3760000467300415, 1.7640000581741333, 1.7860000133514404, 1.6460000276565552, 1.809999942779541, 1.8040000200271606, 1.9639999866485596, 2.3519999980926514, 4.263999938964844, 4.127999782562256, 4.0279998779296875, inf, inf, 4.02400016784668, 3.9719998836517334, 1.8860000371932983, 1.8860000371932983, 1.4040000438690186, 1.590000033378601, 1.9579999446868896, 3.8480000495910645, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.072000026702881, 4.23199987411499, 8.039999961853027, 4.0960001945495605, 3.4839999675750732, 4.624000072479248, inf, 1.5759999752044678, 1.649999976158142, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.263999938964844, 2.0380001068115234, 4.624000072479248, 0.7680000066757202, 0.7820000052452087, 0.871999979019165, 1.8420000076293945, 1.9119999408721924, 1.9500000476837158, 1.777999997138977, inf, inf, 1.3639999628067017, 2.7360000610351562, 1.5479999780654907, 1.593999981880188, 1.559999942779541, 1.5299999713897705, 2.624000072479248, 2.572000026702881]","[1.069, 0.006]",2
"[0.6576581818746143, -0.00879539590828238]","[1.7186837428331163, -0.001855292791136165]",1.061,"[-0.061901974552913436, 0.9980822338597408]","[2.5920000076293945, 2.4159998893737793, 2.3399999141693115, 2.371999979019165, 2.640000104904175, 2.687999963760376, 1.6260000467300415, 1.4479999542236328, 1.753999948501587, 1.812000036239624, 1.694000005722046, 2.072000026702881, 1.7719999551773071, 2.1419999599456787, 2.328000068664551, 4.303999900817871, 4.216000080108643, 4.383999824523926, inf, inf, 3.747999906539917, 3.9719998836517334, 1.9040000438690186, 1.8940000534057617, inf, 1.5820000171661377, 1.9520000219345093, 3.8239998817443848, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.015999794006348, 4.191999912261963, 2.4119999408721924, inf, 3.48799991607666, inf, 3.687999963760376, 1.6119999885559082, 1.621999979019165, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.0740000009536743, inf, inf, inf, inf, 4.48799991607666, 4.455999851226807, 4.599999904632568, inf, 0.7419999837875366, 0.878000020980835, 1.9040000438690186, 1.8760000467300415, 1.9900000095367432, 4.48799991607666, 1.4800000190734863, 0.765999972820282, 1.3739999532699585, 2.75600004196167, 1.4620000123977661, 1.621999979019165, 1.5820000171661377, 1.5460000038146973, 1.3220000267028809, 2.5840001106262207]","[1.061, 0.007]",2
"[0.6650395054481132, -0.009735975499758989]","[1.7186837428331163, -0.001855292791136165]",1.054,"[-0.07396549894113069, 0.9972608008772779]","[2.5999999046325684, 2.7720000743865967, 2.375999927520752, 2.368000030517578, 2.6600000858306885, 2.687999963760376, 2.7360000610351562, 1.5119999647140503, 1.7400000095367432, 1.8079999685287476, 1.75, 2.0840001106262207, 1.8660000562667847, 1.8339999914169312, 2.2880001068115234, 2.4639999866485596, 4.263999938964844, 4.216000080108643, 3.9200000762939453, 0.871999979019165, 3.75600004196167, 3.7200000286102295, 3.9839999675750732, 1.8919999599456787, 1.9019999504089355, inf, 1.4019999504089355, 2.002000093460083, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 3.700000047683716, 4.6479997634887695, 2.440000057220459, 8.600000381469727, 3.5480000972747803, inf, 4.616000175476074, inf, 1.621999979019165, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.0679999589920044, inf, inf, inf, inf, 4.440000057220459, 4.271999835968018, 2.0460000038146973, 4.656000137329102, 0.7459999918937683, 0.7639999985694885, 0.878000020980835, 1.843999981880188, 1.9359999895095825, 4.519999980926514, 1.7640000581741333, inf, inf, 1.3760000467300415, 1.3940000534057617, inf, 1.5980000495910645, 1.559999942779541, 1.5399999618530273, 2.631999969482422]","[1.054, 0.008]",2
"[0.6753222015643484, -0.011370044071653781]","[1.7186837428331163, -0.001855292791136165]",1.043,"[-0.0884079443516004, 0.9960843515363166]","[2.5959999561309814, 2.624000072479248, 2.431999921798706, 2.364000082015991, 2.4119999408721924, 2.6600000858306885, 2.7079999446868896, 1.621999979019165, 1.409999966621399, 1.784000039100647, 1.8140000104904175, 1.6720000505447388, 1.8079999685287476, 1.8040000200271606, 1.9600000381469727, 2.371999979019165, 4.288000106811523, 4.159999847412109, 3.9719998836517334, 0.8920000195503235, 3.7920000553131104, 4.044000148773193, 4.004000186920166, 1.8960000276565552, 1.9040000438690186, 1.4019999504089355, 1.5759999752044678, 1.9880000352859497, 3.8559999465942383, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.0, inf, 2.6440000534057617, 3.9760000705718994, 3.4760000705718994, inf, 3.444000005722046, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.0520000457763672, inf, inf, inf, inf, 4.239999771118164, 4.368000030517578, 4.5920000076293945, 0.7820000052452087, 0.7760000228881836, 0.8740000128746033, 1.8880000114440918, 1.8940000534057617, 1.9819999933242798, 1.809999942779541, 1.4800000190734863, 0.7720000147819519, 1.3839999437332153, 2.752000093460083, 1.5080000162124634, 1.6239999532699585, 1.5839999914169312, 1.555999994277954, inf]","[1.043, 0.01]",2
"[0.6830886744825143, -0.012963167128562087]","[1.7186837428331163, -0.001855292791136165]",1.036,"[-0.10476182052625636, 0.994497340851158]","[2.696000099182129, 2.611999988555908, 2.8399999141693115, 2.3919999599456787, 2.375999927520752, 2.6559998989105225, 2.7119998931884766, 2.74399995803833, 1.5019999742507935, 1.7619999647140503, 1.8420000076293945, 1.7400000095367432, 1.8619999885559082, 1.8880000114440918, 2.1519999504089355, 2.380000114440918, 2.5199999809265137, 4.239999771118164, 4.320000171661377, inf, inf, 3.7799999713897705, 3.7320001125335693, 1.9299999475479126, 1.9019999504089355, inf, inf, 1.9819999933242798, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.1419999599456787, 3.7279999256134033, inf, 2.7279999256134033, inf, 3.5840001106262207, inf, 3.4760000705718994, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 4.440000057220459, 4.263999938964844, inf, 4.671999931335449, 0.7900000214576721, 0.8960000276565552, 0.8759999871253967, 1.8519999980926514, 1.9520000219345093, 4.495999813079834, 1.7680000066757202, inf, inf, 1.3819999694824219, 1.4220000505447388, 1.6440000534057617, 1.6119999885559082, 1.5820000171661377, 1.2719999551773071]","[1.036, 0.011]",2
"[0.6902995215785387, -0.015037454553352085]","[1.7186837428331163, -0.001855292791136165]",1.028,"[-0.12253019431881339, 0.9924647860151985]","[inf, 2.615999937057495, 2.640000104904175, 2.447999954223633, 2.375999927520752, 2.431999921798706, 2.680000066757202, 2.740000009536743, 1.6139999628067017, 1.4240000247955322, 1.809999942779541, 1.8220000267028809, 1.6779999732971191, 1.8940000534057617, 1.8279999494552612, 2.2639999389648438, 2.4200000762939453, 4.288000106811523, 4.168000221252441, 4.0, 0.8859999775886536, 3.799999952316284, 4.047999858856201, 4.0, 1.899999976158142, 1.9140000343322754, 1.4199999570846558, 1.4800000190734863, 2.00600004196167, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.1100000143051147, 6.656000137329102, inf, inf, inf, 3.9719998836517334, inf, 4.576000213623047, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.0399999618530273, inf, inf, inf, inf, 4.248000144958496, 4.519999980926514, 4.5920000076293945, 4.736000061035156, 0.800000011920929, 0.8960000276565552, inf, 1.8940000534057617, 1.9919999837875366, 1.815999984741211, 1.4919999837875366, 0.7879999876022339, 1.3919999599456787, 2.7679998874664307, 1.49399995803833, 1.6440000534057617, 1.6019999980926514, 1.5700000524520874]","[1.028, 0.013]",2
"[0.6958429822518892, -0.01657001319054526]","[1.7186837428331163, -0.001855292791136165]",1.023,"[-0.1390898537793196, 0.9902797648016683]","[1.5740000009536743, 2.6679999828338623, 2.635999917984009, 2.8239998817443848, 2.4079999923706055, 2.4079999923706055, 2.6760001182556152, 2.7360000610351562, 2.7760000228881836, 1.5180000066757202, 1.7899999618530273, inf, 1.7400000095367432, 1.871999979019165, 1.809999942779541, 2.1679999828338623, 2.359999895095825, 4.383999824523926, 4.239999771118164, 4.383999824523926, inf, inf, 3.7760000228881836, 4.015999794006348, 1.9220000505447388, 1.9079999923706055, 1.4199999570846558, inf, 2.0, 3.799999952316284, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.0759999752044678, inf, inf, 4.711999893188477, 2.563999891281128, inf, 3.635999917984009, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.0180000066757202, inf, 0.8240000009536743, 1.1119999885559082, inf, inf, inf, 4.447999954223633, 4.263999938964844, 2.0439999103546143, 4.6479997634887695, inf, 0.8399999737739563, 0.8859999775886536, 1.8559999465942383, 1.9479999542236328, 4.51200008392334, 1.7879999876022339, inf, inf, 1.3980000019073486, 1.4279999732971191, 1.6360000371932983, 1.6260000467300415, 1.5980000495910645]","[1.023, 0.015]",2
"[0.7015101851912909, -0.018555597804306864]","[1.7186837428331163, -0.001855292791136165]",1.017,"[-0.1543846146999946, 0.9880108252159661]","[1.5959999561309814, inf, 2.640000104904175, 2.6559998989105225, 2.4639999866485596, 2.4040000438690186, 2.4519999027252197, 2.7039999961853027, 2.7720000743865967, 1.6180000305175781, 1.4500000476837158, 1.840000033378601, 1.815999984741211, 1.6759999990463257, 1.906000018119812, 1.850000023841858, 2.315999984741211, 2.4719998836517334, 4.360000133514404, 4.168000221252441, inf, inf, 3.815999984741211, 4.056000232696533, 4.015999794006348, 1.9079999923706055, 1.9199999570846558, inf, 2.003999948501587, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 0.8840000033378601, inf, inf, 7.311999797821045, 4.0960001945495605, inf, inf, 3.4119999408721924, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.0379999876022339, inf, inf, inf, inf, 4.447999954223633, 4.48799991607666, 4.624000072479248, 4.736000061035156, 0.8519999980926514, 0.8379999995231628, 0.8899999856948853, 1.8919999599456787, 2.0139999389648438, 4.455999851226807, 1.5019999742507935, 0.7940000295639038, inf, 2.7639999389648438, 1.5140000581741333, 1.659999966621399, 1.6239999532699585]","[1.017, 0.017]",2
"[0.7090490297244619, -0.02150182628870175]","[1.7186837428331163, -0.001855292791136165]",1.01,"[-0.16940257620681565, 0.9855469380879299]","[1.6139999628067017, 1.5859999656677246, inf, 2.6600000858306885, 2.875999927520752, 2.431999921798706, 2.4240000247955322, 2.700000047683716, 2.7639999389648438, 2.808000087738037, 1.5240000486373901, 1.8079999685287476, 1.8819999694824219, 1.746000051498413, 1.8860000371932983, 1.8259999752044678, 2.007999897003174, 2.388000011444092, 4.375999927520752, 4.25600004196167, 4.415999889373779, 0.9120000004768372, 3.8239998817443848, 3.803999900817871, 4.02400016784668, 1.9079999923706055, 1.9459999799728394, 1.4639999866485596, inf, 1.99399995803833, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.7799999713897705, 4.872000217437744, inf, inf, 4.136000156402588, 2.552000045776367, inf, 3.4600000381469727, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 0.8519999980926514, 0.9900000095367432, inf, inf, 1.0299999713897705, inf, inf, inf, 4.455999851226807, 4.271999835968018, 2.0320000648498535, 4.6479997634887695, 4.76800012588501, 0.8339999914169312, 0.8999999761581421, 1.8639999628067017, 1.9479999542236328, 4.535999774932861, 1.805999994277954, 1.5, 0.800000011920929, 1.4119999408721924, 1.4500000476837158, inf, 1.649999976158142]","[1.01, 0.02]",2
"[0.7166383898341501, -0.02467270420549725]","[1.7186837428331163, -0.001855292791136165]",1.002,"[-0.1859913784741846, 0.9825513763326947]","[1.6440000534057617, 1.6160000562667847, inf, 2.6559998989105225, 2.680000066757202, 2.492000102996826, 2.4200000762939453, 2.4800000190734863, 2.7200000286102295, 2.7839999198913574, 1.6339999437332153, 1.8040000200271606, 1.8660000562667847, 1.8259999752044678, inf, 1.9299999475479126, 1.8899999856948853, 2.3359999656677246, 2.51200008392334, 4.383999824523926, 4.191999912261963, inf, inf, 3.803999900817871, 4.047999858856201, 1.940000057220459, 1.9140000343322754, inf, inf, 1.9900000095367432, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.659999966621399, 1.9839999675750732, inf, 6.74399995803833, inf, 4.0960001945495605, inf, 3.9079999923706055, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 0.843999981880188, 0.8339999914169312, inf, inf, 0.8140000104904175, inf, inf, inf, inf, inf, 4.4720001220703125, 4.639999866485596, 4.74399995803833, inf, 0.8420000076293945, 0.8999999761581421, 1.8880000114440918, 2.007999897003174, 4.51200008392334, 1.5959999561309814, inf, inf, 2.7839999198913574, 1.503999948501587, 1.6799999475479126]","[1.002, 0.023]",2
"[0.729062869221383, -0.029731042366785854]","[1.7186837428331163, -0.001855292791136165]",0.99,"[-0.204764476444061, 0.9788112735285539]","[1.6720000505447388, 1.6440000534057617, 1.6239999532699585, inf, 2.680000066757202, 2.8919999599456787, 2.4639999866485596, 2.447999954223633, 2.7200000286102295, 2.7720000743865967, 2.8239998817443848, 1.5440000295639038, 1.843999981880188, 1.8739999532699585, 1.7599999904632568, 1.906000018119812, 1.8519999980926514, 2.3239998817443848, 2.4000000953674316, 4.400000095367432, 4.263999938964844, 4.423999786376953, inf, 3.819999933242798, 3.8359999656677246, 4.019999980926514, 1.9179999828338623, 1.9600000381469727, inf, inf, 1.9980000257492065, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 1.5520000457763672, 1.7680000066757202, 4.840000152587891, 6.74399995803833, inf, 4.111999988555908, 2.6640000343322754, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, 0.8240000009536743, inf, inf, inf, 1.027999997138977, 1.0740000009536743, inf, inf, inf, 4.25600004196167, 4.5920000076293945, 4.656000137329102, 4.688000202178955, 0.8560000061988831, 0.8500000238418579, 0.9079999923706055, 1.9320000410079956, 1.996000051498413, 1.8380000591278076, 1.5260000228881836, 0.8220000267028809, 1.434000015258789, 2.7760000228881836, 1.6820000410079956]","[0.99, 0.028]",2
